Experiment,Scale,Tool,Replicate,LGA90,misassemblies,contigs,16Sident,Runtime(Minutes),MaximumRAM(GB)
1,High,flye,1,1,0,1,99.06,26.02,9.07
1,High,flye,2,30,9,44,99.12,25.89,9.07
1,High,flye,3,45,19,61,99.13,26.21,9.07
1,Mid,flye,1,33,12,53,98.99,25.36,9.07
1,Mid,flye,2,34,9,57,99.1,25.9,9.07
1,Mid,flye,3,36,15,52,99.11,26.42,9.07
1,Low,flye,1,34,17,55,99.2,24.93,9.07
1,Low,flye,2,35,17,52,99.11,25.24,9.07
1,Low,flye,3,30,10,49,99.06,25.42,9.07
1,High,unicycler,1,2,1,5,99.31,17.82,3.6
1,High,unicycler,2,1,0,6,99.31,23.12,4.7
1,High,unicycler,3,1,0,1,99.31,23.08,4.8
1,Mid,unicycler,1,2,1,3,99.23,35.4,3.7
1,Mid,unicycler,2,1,0,4,99.28,24.12,2.9
1,Mid,unicycler,3,3,0,4,99.16,26.61,3.7
1,Low,unicycler,1,4,2,6,99.18,19.51,2.8
1,Low,unicycler,2,2,2,3,99.21,19.46,2.9
1,Low,unicycler,3,7,5,7,99.15,23.58,2.8
1,High,spades,1,1,0,1,99.31,8.41,4.4
1,High,spades,2,1,0,1,99.31,9.73,4.4
1,High,spades,3,1,0,2,99.31,6.95,4.4
1,Mid,spades,1,2,0,2,99.31,7.92,3.4
1,Mid,spades,2,3,0,4,99.31,5.44,3.4
1,Mid,spades,3,3,0,5,99.31,5.73,3.4
1,Low,spades,1,7,0,11,99.31,10.29,6.8
1,Low,spades,2,10,0,16,99.31,12.94,6.8
1,Low,spades,3,5,0,11,99.31,9.43,6.8
1,High,BRRspades,1,74,0,142,99.31,0,0
1,High,BRRspades,2,74,0,143,99.31,0,0
1,High,BRRspades,3,73,0,139,99.31,0,0
1,Mid,BRRspades,1,83,0,156,99.31,0,0
1,Mid,BRRspades,2,83,0,156,99.31,0,0
1,Mid,BRRspades,3,83,0,156,99.31,0,0
1,Low,BRRspades,1,89,0,165,99.31,0,0
1,Low,BRRspades,2,90,0,166,99.31,0,0
1,Low,BRRspades,3,86,0,164,99.31,0,0
2,High,flye,1,3,0,3,99.06,51.29,10.6
2,High,flye,2,1,0,1,99.06,55.4,10.6
2,High,flye,3,1,0,1,99.06,52.91,10.6
2,Mid,flye,1,4,0,7,98.98,27.54,9.6
2,Mid,flye,2,3,1,3,99.06,27.96,9.6
2,Mid,flye,3,2,0,3,99.06,28.68,9.6
2,Low,flye,1,13,2,21,99.06,10.42,8.8
2,Low,flye,2,16,8,28,97.94,10.56,8.8
2,Low,flye,3,10,3,17,99.06,10.73,8.8
2,High,unicycler,1,1,0,1,99.31,52.85,6
2,High,unicycler,2,1,0,1,98.49,39.51,6
2,High,unicycler,3,1,0,1,99.31,51.63,6.3
2,Mid,unicycler,1,1,0,1,98.98,36.91,4.3
2,Mid,unicycler,2,1,0,1,99.31,23.31,4.3
2,Mid,unicycler,3,1,0,1,99.31,22.19,4.2
2,Low,unicycler,1,2,2,7,97.7,9.08,2.4
2,Low,unicycler,2,2,0,6,98.83,11.13,3.1
2,Low,unicycler,3,2,0,3,99.31,23.31,4.3
2,High,spades,1,1,0,1,99.31,13.47,6.3
2,High,spades,2,1,0,1,99.31,13.21,6.3
2,High,spades,3,1,0,1,99.31,13.57,6.3
2,Mid,spades,1,1,0,1,99.31,5.75,3.4
2,Mid,spades,2,1,0,1,99.31,5.59,3.4
2,Mid,spades,3,1,0,1,99.31,6.51,3.4
2,Low,spades,1,4,0,6,99.31,3.15,2
2,Low,spades,2,9,0,15,98.83,2.94,2
2,Low,spades,3,4,0,5,99.31,2.93,2
2,High,BRRspades,1,73,0,139,99.31,0,0
2,High,BRRspades,2,72,0,139,99.31,0,0
2,High,BRRspades,3,75,0,143,99.31,0,0
2,Mid,BRRspades,1,74,0,142,99.31,0,0
2,Mid,BRRspades,2,73,0,141,99.31,0,0
2,Mid,BRRspades,3,73,0,144,99.31,0,0
2,Low,BRRspades,1,74,0,145,99.31,0,0
2,Low,BRRspades,2,76,0,148,98.83,0,0
2,Low,BRRspades,3,75,0,146,99.31,0,0
3,2018,flye,1,27,11,41,99.13,4.23,9.1
3,2018,flye,2,22,7,38,99.06,3.55,9.1
3,2018,flye,3,24,6,40,99.04,3.55,9.1
3,2024,flye,1,6,0,12,99.14,4.1,9.16
3,2024,flye,2,12,0,20,98.9,3.88,9.16
3,2024,flye,3,8,1,11,99.1,4.97,9.16
3,2018,unicycler,1,1,0,1,99.31,22.19,4.2
3,2018,unicycler,2,1,0,1,99.24,14.18,3.2
3,2018,unicycler,3,1,0,1,99.24,14.43,3
3,2024,unicycler,1,1,0,4,99.24,14.21,3.2
3,2024,unicycler,2,1,0,3,99.24,14.22,3.1
3,2024,unicycler,3,1,0,1,99.24,14.05,3.1
3,2018,spades,1,2,0,3,99.31,2.28,2.4
3,2018,spades,2,2,0,3,99.31,2.15,2.4
3,2018,spades,3,2,0,3,99.31,2.25,2.4
3,2024,spades,1,3,0,4,99.31,2.31,2.4
3,2024,spades,2,4,0,5,99.31,2.19,2.4
3,2024,spades,3,2,0,3,99.31,2.28,2.4
3,2018,BRRspades,1,74,0,145,99.31,0,0
3,2018,BRRspades,2,74,0,145,99.31,0,0
3,2018,BRRspades,3,74,0,145,99.31,0,0
3,2024,BRRspades,1,74,0,145,99.31,0,0
3,2024,BRRspades,2,74,0,145,99.31,0,0
3,2024,BRRspades,3,74,0,145,99.31,0,0
